Date,Open,High,Low,Close
12/29/20,"1,996.73","2,001.70","1,950.82","1,959.36"
12/28/20,"2,013.49","2,026.24","1,996.25","1,996.25"
12/24/20,"2,013.18","2,013.97","1,997.18","2,003.95"
12/23/20,"1,991.10","2,011.84","1,991.10","2,007.10"
12/22/20,"1,971.18","1,992.50","1,971.18","1,989.88"
12/21/20,"1,967.93","1,970.68","1,934.66","1,970.33"
12/18/20,"1,978.89","1,992.72","1,965.67","1,969.99"
12/17/20,"1,953.76","1,978.05","1,953.76","1,978.05"
12/16/20,"1,961.26","1,966.11","1,947.05","1,952.72"
12/15/20,"1,915.90","1,960.81","1,915.90","1,959.76"
12/14/20,"1,914.15","1,944.12","1,913.86","1,913.86"
12/11/20,"1,921.27","1,926.73","1,896.02","1,911.70"
12/10/20,"1,901.34","1,924.12","1,887.69","1,922.70"
12/9/20,"1,919.17","1,935.27","1,889.33","1,902.15"
12/8/20,"1,890.57","1,918.01","1,881.70","1,917.78"
12/7/20,"1,892.72","1,897.44","1,886.78","1,891.25"
12/4/20,"1,849.98","1,892.45","1,849.98","1,892.45"
12/3/20,"1,838.52","1,860.35","1,838.52","1,848.70"
12/2/20,"1,833.08","1,842.53","1,817.02","1,838.03"
12/1/20,"1,822.92","1,848.02","1,822.92","1,836.05"
11/30/20,"1,854.87","1,854.87","1,813.56","1,819.82"
11/27/20,"1,846.26","1,855.27","1,845.50","1,855.27"
11/25/20,"1,852.62","1,852.62","1,831.95","1,845.02"
11/24/20,"1,819.52","1,862.17","1,819.52","1,853.53"
11/23/20,"1,787.24","1,827.60","1,787.24","1,818.30"
11/20/20,"1,782.15","1,787.39","1,771.13","1,785.34"
11/19/20,"1,769.25","1,784.64","1,764.20","1,784.13"
11/18/20,"1,792.76","1,805.20","1,769.32","1,769.32"
11/17/20,"1,783.09","1,795.89","1,755.34","1,791.92"
11/16/20,"1,747.02","1,785.34","1,747.02","1,785.34"
11/13/20,"1,710.05","1,749.36","1,710.05","1,744.04"
11/12/20,"1,735.99","1,735.99","1,696.65","1,708.47"
11/11/20,"1,738.88","1,746.31","1,722.22","1,736.94"
11/10/20,"1,706.45","1,741.83","1,706.45","1,737.01"
11/9/20,"1,652.11","1,745.69","1,652.11","1,705.04"
11/6/20,"1,660.78","1,667.15","1,644.16","1,644.16"
11/5/20,"1,616.65","1,664.12","1,616.65","1,660.05"
11/4/20,"1,612.98","1,631.31","1,598.56","1,615.08"
11/3/20,"1,571.95","1,620.77","1,571.95","1,614.30"
11/2/20,"1,540.86","1,568.59","1,540.86","1,568.59"
10/30/20,"1,559.70","1,559.70","1,526.22","1,538.48"
10/29/20,"1,543.06","1,566.40","1,532.23","1,561.58"
10/28/20,"1,586.77","1,586.77","1,542.54","1,543.28"
10/27/20,"1,605.68","1,609.53","1,590.71","1,590.48"
10/26/20,"1,635.22","1,635.22","1,586.89","1,605.21"
10/23/20,"1,634.06","1,641.48","1,626.32","1,640.50"
10/22/20,"1,604.95","1,631.97","1,603.96","1,630.25"
10/21/20,"1,618.34","1,621.88","1,603.77","1,603.78"
10/20/20,"1,620.57","1,632.76","1,615.99","1,617.71"
10/19/20,"1,636.84","1,647.05","1,612.22","1,613.63"
10/16/20,"1,638.48","1,646.25","1,633.80","1,633.81"
10/15/20,"1,618.88","1,641.00","1,598.49","1,638.88"
10/14/20,"1,637.97","1,648.00","1,621.56","1,621.65"
10/13/20,"1,647.57","1,647.57","1,631.60","1,636.85"
10/12/20,"1,642.46","1,652.05","1,637.35","1,649.05"
10/9/20,"1,630.71","1,645.04","1,630.71","1,637.55"
10/8/20,"1,615.27","1,630.33","1,615.27","1,628.55"
10/7/20,"1,581.12","1,614.61","1,581.12","1,611.04"
10/6/20,"1,584.49","1,619.21","1,577.29","1,577.29"
10/5/20,"1,541.20","1,582.66","1,541.20","1,581.97"
10/2/20,"1,527.59","1,544.50","1,498.12","1,539.30"
10/1/20,"1,508.60","1,531.92","1,508.60","1,531.20"
9/30/20,"1,504.84","1,528.01","1,498.29","1,507.69"
9/29/20,"1,510.20","1,512.22","1,492.52","1,504.73"
9/28/20,"1,477.43","1,514.33","1,477.43","1,510.34"
9/25/20,"1,450.98","1,478.95","1,445.70","1,474.91"
9/24/20,"1,450.84","1,474.02","1,432.57","1,451.82"
9/23/20,"1,496.97","1,503.98","1,451.41","1,451.46"
9/22/20,"1,486.05","1,497.81","1,474.49","1,496.96"
9/21/20,"1,533.92","1,533.92","1,470.44","1,485.25"
9/18/20,"1,544.34","1,556.38","1,519.76","1,536.78"
9/17/20,"1,550.14","1,550.14","1,526.55","1,542.60"
9/16/20,"1,539.27","1,572.06","1,539.27","1,552.33"
9/15/20,"1,538.54","1,551.02","1,535.64","1,538.15"
9/14/20,"1,499.38","1,538.50","1,499.38","1,536.97"
9/11/20,"1,508.80","1,515.97","1,484.95","1,497.27"
9/10/20,"1,526.87","1,543.43","1,507.73","1,507.75"
9/9/20,"1,505.09","1,532.91","1,505.09","1,526.48"
9/8/20,"1,534.37","1,534.37","1,499.83","1,504.59"
9/4/20,"1,546.64","1,563.38","1,501.52","1,535.30"
9/3/20,"1,578.78","1,595.04","1,538.53","1,544.68"
9/2/20,"1,578.78","1,595.04","1,567.43","1,592.29"
9/1/20,"1,561.10","1,578.58","1,554.19","1,578.58"
8/31/20,"1,577.55","1,577.55","1,561.88","1,561.88"
8/28/20,"1,570.46","1,578.34","1,567.13","1,578.34"
8/27/20,"1,561.36","1,573.38","1,555.27","1,564.56"
8/26/20,"1,570.72","1,572.57","1,559.74","1,560.19"
8/25/20,"1,572.65","1,574.24","1,556.78","1,571.21"
8/24/20,"1,559.96","1,568.73","1,554.10","1,568.47"
8/21/20,"1,563.37","1,563.37","1,545.36","1,552.48"
8/20/20,"1,567.77","1,570.38","1,554.46","1,564.30"
8/19/20,"1,570.44","1,585.16","1,569.98","1,572.07"
8/18/20,"1,585.54","1,585.54","1,566.51","1,569.77"
8/17/20,"1,579.48","1,586.52","1,575.84","1,585.47"
8/14/20,"1,575.78","1,583.48","1,567.88","1,577.88"
8/13/20,"1,580.26","1,590.09","1,575.96","1,579.79"
8/12/20,"1,577.90","1,595.12","1,574.25","1,583.25"
8/11/20,"1,587.57","1,603.60","1,570.70","1,575.10"
8/10/20,"1,573.75","1,593.83","1,573.75","1,584.67"
8/7/20,"1,542.52","1,569.27","1,539.52","1,569.19"
8/6/20,"1,546.44","1,550.47","1,537.46","1,544.62"
8/5/20,"1,521.79","1,546.40","1,521.79","1,546.24"
8/4/20,"1,506.53","1,517.22","1,501.58","1,517.21"
8/3/20,"1,485.49","1,507.93","1,483.37","1,506.80"
7/31/20,"1,495.15","1,495.15","1,457.62","1,480.43"
7/30/20,"1,499.20","1,499.20","1,475.16","1,495.10"
7/29/20,"1,471.37","1,501.86","1,471.37","1,500.63"
7/28/20,"1,484.37","1,485.34","1,469.55","1,469.76"
7/27/20,"1,468.23","1,484.66","1,464.48","1,484.65"
7/24/20,"1,488.67","1,488.67","1,466.10","1,467.56"
7/23/20,"1,489.33","1,507.24","1,477.23","1,490.20"
7/22/20,"1,486.43","1,493.57","1,478.88","1,490.14"
7/21/20,"1,472.13","1,496.73","1,472.13","1,487.51"
7/20/20,"1,471.67","1,474.37","1,461.30","1,467.95"
7/17/20,"1,467.87","1,482.40","1,464.71","1,473.32"
7/16/20,"1,473.78","1,473.78","1,460.08","1,467.56"
7/15/20,"1,432.50","1,485.05","1,432.50","1,478.27"
7/14/20,"1,403.13","1,428.40","1,393.90","1,428.26"
7/13/20,"1,427.36","1,452.32","1,403.06","1,403.57"
7/10/20,"1,398.92","1,422.71","1,395.65","1,422.68"
7/9/20,"1,427.44","1,427.83","1,384.10","1,398.92"
7/8/20,"1,416.36","1,431.83","1,402.18","1,427.40"
7/7/20,"1,441.30","1,441.30","1,414.25","1,416.00"
7/6/20,"1,435.95","1,461.28","1,435.95","1,442.88"
7/2/20,"1,433.39","1,459.41","1,428.55","1,431.86"
7/1/20,"1,443.29","1,451.46","1,423.65","1,427.31"
6/30/20,"1,418.55","1,444.12","1,413.18","1,441.37"
6/29/20,"1,383.04","1,427.09","1,381.04","1,421.21"
6/26/20,"1,411.37","1,411.37","1,375.59","1,378.78"
6/25/20,"1,388.41","1,413.71","1,375.37","1,413.32"
6/24/20,"1,437.20","1,437.20","1,374.40","1,389.74"
6/23/20,"1,436.46","1,454.12","1,436.46","1,439.34"
6/22/20,"1,417.67","1,433.53","1,400.98","1,433.53"
6/19/20,"1,430.65","1,443.80","1,409.47","1,418.63"
6/18/20,"1,424.73","1,439.75","1,412.27","1,427.08"
6/17/20,"1,453.33","1,456.77","1,424.60","1,426.53"
6/16/20,"1,432.35","1,473.75","1,427.84","1,452.26"
6/15/20,"1,381.41","1,425.84","1,343.60","1,419.61"
6/12/20,"1,366.96","1,412.91","1,349.39","1,387.69"
6/11/20,"1,458.34","1,458.34","1,355.32","1,356.22"
6/10/20,"1,506.94","1,506.94","1,465.94","1,467.39"
6/9/20,"1,533.03","1,533.03","1,496.69","1,507.05"
6/8/20,"1,510.59","1,537.62","1,510.59","1,536.90"
6/5/20,"1,460.18","1,525.56","1,460.18","1,507.15"
6/4/20,"1,450.16","1,460.09","1,439.11","1,452.06"
6/3/20,"1,425.37","1,463.55","1,425.37","1,452.09"
6/2/20,"1,409.16","1,421.12","1,403.69","1,418.21"
6/1/20,"1,396.29","1,419.94","1,395.51","1,405.37"
5/29/20,"1,399.05","1,399.05","1,372.71","1,394.04"
5/28/20,"1,437.84","1,450.37","1,396.95","1,400.67"
5/27/20,"1,398.50","1,438.96","1,382.03","1,436.36"
5/26/20,"1,361.16","1,406.77","1,361.16","1,393.07"
5/22/20,"1,349.40","1,355.77","1,338.13","1,355.53"
5/21/20,"1,345.72","1,354.65","1,333.99","1,347.56"
5/20/20,"1,322.78","1,353.38","1,322.78","1,346.93"
5/19/20,"1,330.27","1,339.12","1,307.27","1,307.72"
5/18/20,"1,290.90","1,338.35","1,290.90","1,333.69"
5/15/20,"1,236.25","1,259.28","1,225.55","1,256.99"
5/14/20,"1,226.66","1,237.56","1,181.10","1,237.55"
5/13/20,"1,272.90","1,272.90","1,212.75","1,233.25"
5/12/20,"1,322.67","1,326.89","1,275.54","1,275.54"
5/11/20,"1,320.37","1,333.85","1,303.53","1,321.24"
5/8/20,"1,294.28","1,330.11","1,294.28","1,329.64"
5/7/20,"1,268.35","1,290.92","1,268.35","1,282.93"
5/6/20,"1,278.90","1,284.92","1,262.56","1,263.01"
5/5/20,"1,271.22","1,302.45","1,269.99","1,273.51"
5/4/20,"1,254.88","1,263.97","1,234.01","1,263.97"
5/1/20,"1,280.58","1,281.09","1,241.91","1,260.48"
4/30/20,"1,354.80","1,354.80","1,310.45","1,310.66"
4/29/20,"1,314.04","1,373.39","1,314.04","1,360.76"
4/28/20,"1,301.22","1,316.71","1,282.77","1,298.08"
4/27/20,"1,243.47","1,289.18","1,243.47","1,281.88"
4/24/20,"1,216.68","1,238.31","1,210.62","1,233.05"
4/23/20,"1,203.66","1,232.59","1,203.66","1,214.07"
4/22/20,"1,203.02","1,213.34","1,196.54","1,201.52"
4/21/20,"1,192.22","1,195.88","1,173.91","1,185.09"
4/20/20,"1,220.63","1,233.86","1,202.22","1,213.35"
4/17/20,"1,191.86","1,231.93","1,191.85","1,229.10"
4/16/20,"1,185.10","1,187.84","1,154.52","1,178.09"
4/15/20,"1,221.71","1,221.71","1,176.03","1,183.98"
4/14/20,"1,232.32","1,251.88","1,224.15","1,237.33"
4/13/20,"1,240.91","1,240.94","1,200.92","1,212.04"
4/9/20,"1,212.66","1,250.13","1,212.66","1,246.73"
4/8/20,"1,151.01","1,197.17","1,147.26","1,191.66"
4/7/20,"1,158.17","1,190.99","1,133.55","1,139.17"
4/6/20,"1,085.88","1,139.93","1,085.88","1,138.78"
4/3/20,"1,082.90","1,082.90","1,035.39","1,052.05"
4/2/20,"1,071.46","1,102.36","1,055.60","1,085.81"
4/1/20,"1,127.73","1,127.73","1,064.60","1,071.99"
3/31/20,"1,155.68","1,164.63","1,130.35","1,153.10"
3/30/20,"1,134.14","1,158.65","1,119.95","1,158.32"
3/27/20,"1,163.92","1,163.92","1,125.68","1,131.99"
3/26/20,"1,116.31","1,180.32","1,116.31","1,180.32"
3/25/20,"1,100.14","1,146.81","1,075.85","1,110.37"
3/24/20,"1,041.07","1,096.54","1,041.07","1,096.54"
3/23/20,"1,014.08","1,017.89",966.43,"1,002.40"
3/20/20,"1,064.72","1,087.72","1,009.53","1,013.89"
3/19/20,988.71,"1,069.15",968.86,"1,058.75"
3/18/20,"1,057.65","1,062.88",966.22,991.16
3/17/20,"1,043.87","1,106.69","1,011.96","1,106.51"
3/16/20,"1,174.97","1,209.46","1,035.20","1,037.42"
3/13/20,"1,153.76","1,210.14","1,109.39","1,210.14"
3/12/20,"1,253.87","1,253.87","1,121.72","1,122.93"
3/11/20,"1,349.24","1,349.24","1,249.28","1,264.30"
3/10/20,"1,329.88","1,351.48","1,288.93","1,350.90"
3/9/20,"1,396.25","1,396.25","1,310.76","1,313.44"
3/6/20,"1,476.63","1,476.63","1,417.27","1,449.22"
3/5/20,"1,522.85","1,522.85","1,462.92","1,478.82"
3/4/20,"1,500.15","1,531.20","1,494.58","1,531.20"
3/3/20,"1,518.52","1,539.74","1,472.74","1,486.08"
3/2/20,"1,476.60","1,518.53","1,463.06","1,518.49"
2/28/20,"1,496.83","1,496.83","1,448.21","1,476.43"
2/27/20,"1,545.25","1,553.98","1,495.89","1,497.87"
2/26/20,"1,572.27","1,588.32","1,551.39","1,552.76"
2/25/20,"1,630.87","1,633.11","1,568.97","1,571.90"
2/24/20,"1,676.65","1,676.65","1,620.14","1,628.10"
2/21/20,"1,694.73","1,694.73","1,673.20","1,678.61"
2/20/20,"1,689.42","1,698.92","1,677.62","1,696.07"
2/19/20,"1,685.33","1,698.16","1,685.33","1,692.57"
2/18/20,"1,686.03","1,687.38","1,674.60","1,683.52"
2/14/20,"1,694.87","1,695.17","1,683.47","1,687.58"
2/13/20,"1,684.58","1,696.54","1,680.38","1,693.74"
2/12/20,"1,684.39","1,690.06","1,683.02","1,689.38"
2/11/20,"1,654.92","1,686.01","1,653.67","1,677.52"
2/10/20,"1,654.92","1,667.70","1,653.67","1,667.67"
2/7/20,"1,673.53","1,673.53","1,654.31","1,656.78"
2/6/20,"1,685.44","1,689.17","1,677.29","1,677.46"
2/5/20,"1,644.42","1,682.96","1,644.42","1,681.92"
2/4/20,"1,644.42","1,661.00","1,644.42","1,656.77"
2/3/20,"1,618.80","1,636.88","1,618.80","1,632.21"
1/31/20,"1,643.69","1,643.69","1,610.64","1,614.06"
1/30/20,"1,641.47","1,648.43","1,630.94","1,648.22"
1/29/20,"1,661.08","1,663.77","1,649.00","1,649.22"
1/28/20,"1,651.13","1,661.19","1,651.13","1,658.31"
1/27/20,"1,660.82","1,660.82","1,632.26","1,644.14"
1/24/20,"1,687.81","1,689.15","1,653.19","1,662.23"
1/23/20,"1,680.54","1,687.85","1,666.47","1,685.01"
1/22/20,"1,691.07","1,694.37","1,682.94","1,684.46"
1/21/20,"1,695.45","1,695.45","1,684.26","1,685.90"
1/17/20,"1,712.93","1,715.08","1,697.69","1,699.64"
1/16/20,"1,691.82","1,706.18","1,691.82","1,705.22"
1/15/20,"1,673.69","1,688.12","1,673.40","1,682.40"
1/14/20,"1,668.39","1,684.34","1,662.86","1,675.74"
1/13/20,"1,658.98","1,669.61","1,652.32","1,669.61"
1/10/20,"1,665.47","1,666.75","1,654.01","1,657.64"
1/9/20,"1,669.86","1,671.82","1,663.78","1,664.99"
1/8/20,"1,658.47","1,669.29","1,658.23","1,663.59"
1/7/20,"1,659.73","1,662.10","1,653.33","1,658.31"
1/6/20,"1,650.66","1,664.85","1,645.51","1,663.26"
1/3/20,"1,675.90","1,678.14","1,648.54","1,660.87"
1/2/20,"1,675.90","1,678.14","1,653.52","1,666.77"
