Date,Open,High,Low,Close,Adj Close,Volume
2020-03-06,1764.729980,1764.729980,1694.400024,1735.010010,1735.010010,0
2020-03-09,1690.339966,1690.339966,1592.780029,1598.849976,1598.849976,0
2020-03-10,1615.380005,1674.680054,1589.619995,1674.569946,1674.569946,0
2020-03-11,1672.319946,1672.319946,1570.079956,1589.489990,1589.489990,0
2020-03-12,1583.969971,1583.969971,1435.310059,1435.939941,1435.939941,0
2020-03-13,1456.050049,1564.709961,1439.089966,1564.709961,1564.709961,0
2020-03-16,1554.250000,1554.250000,1369.239990,1371.969971,1371.969971,0
2020-03-17,1377.939941,1464.750000,1357.670044,1451.410034,1451.410034,0
2020-03-18,1404.140015,1405.109985,1301.709961,1366.619995,1366.619995,0
2020-03-19,1364.060059,1412.619995,1323.760010,1382.839966,1382.839966,0
2020-03-20,1389.520020,1411.319946,1320.170044,1324.800049,1324.800049,0
2020-03-23,1324.260010,1324.260010,1259.729980,1288.040039,1288.040039,0
2020-03-24,1335.910034,1410.729980,1335.910034,1409.880005,1409.880005,0
2020-03-25,1413.459961,1483.849976,1388.969971,1429.250000,1429.250000,0
2020-03-26,1434.260010,1520.859985,1434.260010,1517.569946,1517.569946,0
2020-03-27,1505.520020,1507.680054,1453.510010,1466.359985,1466.359985,0
2020-03-30,1469.859985,1514.839966,1465.859985,1512.390015,1512.390015,0
2020-03-31,1509.579956,1520.310059,1480.050049,1489.569946,1489.569946,0
2020-04-01,1464.520020,1464.520020,1407.630005,1420.270020,1420.270020,0
2020-04-02,1419.699951,1455.680054,1411.260010,1449.520020,1449.520020,0
2020-04-03,1447.989990,1454.589966,1409.000000,1425.069946,1425.069946,0
2020-04-06,1460.369995,1533.869995,1460.369995,1527.209961,1527.209961,0
2020-04-07,1539.329956,1580.680054,1525.579956,1526.540039,1526.540039,0
2020-04-08,1532.560059,1586.760010,1530.060059,1581.130005,1581.130005,0
2020-04-09,1592.640015,1624.930054,1592.229980,1609.069946,1609.069946,0
2020-04-13,1602.910034,1602.910034,1567.459961,1590.319946,1590.319946,0
2020-04-14,1602.260010,1639.969971,1602.260010,1637.829956,1637.829956,0
2020-04-15,1630.020020,1630.020020,1587.520020,1599.479980,1599.479980,0
2020-04-16,1604.719971,1610.579956,1586.979980,1607.030029,1607.030029,0
2020-04-17,1614.500000,1655.719971,1614.500000,1653.160034,1653.160034,0
2020-04-20,1648.849976,1650.729980,1622.979980,1625.069946,1625.069946,0
2020-04-21,1611.650024,1611.650024,1569.380005,1575.500000,1575.500000,0
2020-04-22,1597.719971,1618.369995,1597.680054,1610.540039,1610.540039,0
2020-04-23,1613.359985,1637.959961,1609.729980,1611.459961,1611.459961,0
2020-04-24,1613.229980,1637.729980,1608.109985,1634.119995,1634.119995,0
2020-04-27,1640.250000,1668.719971,1640.250000,1663.349976,1663.349976,0
2020-04-28,1674.069946,1689.780029,1654.920044,1657.170044,1657.170044,0
2020-04-29,1662.670044,1713.920044,1662.670044,1705.319946,1705.319946,0
2020-04-30,1703.800049,1703.800049,1675.719971,1684.949951,1684.949951,0
2020-05-01,1654.739990,1656.770020,1629.260010,1635.589966,1635.589966,0
2020-05-04,1633.770020,1643.579956,1615.859985,1643.199951,1643.199951,0
2020-05-05,1647.560059,1676.939941,1647.560059,1658.609985,1658.609985,0
